Date,Portfolio,Benchmark,Relative(Portfolio return - Benchmark return)
2020-05-31,0.031437,0.057862,-0.026425
2020-06-30,0.116165,0.087997,0.028168
2020-07-31,0.068866,0.087676,-0.018809
2020-08-31,0.002898,0.018758,-0.015860
2020-09-30,-0.063762,0.011290,-0.075052
2020-10-31,-0.055131,-0.026922,-0.028209
2020-11-30,0.170918,0.101586,0.069332
2020-12-31,0.023559,0.056375,-0.032815
2021-01-31,-0.029172,0.052180,-0.081351
2021-02-28,0.002318,0.027343,-0.025025
2021-03-31,0.003560,-0.078478,0.082038
2021-04-30,0.001532,0.052153,-0.050621
2021-05-31,-0.001714,-0.052345,0.050631
2021-06-30,0.040365,0.006113,0.034253
2021-07-31,-0.015242,-0.072986,0.057744
2021-08-31,-0.030284,-0.001300,-0.028984
2021-09-30,-0.089681,-0.054019,-0.035662
2021-10-31,-0.018608,0.036306,-0.054914
2021-11-30,-0.087975,-0.004148,-0.083827
2021-12-31,0.005073,0.004208,0.000865
2022-01-31,-0.024483,-0.119663,0.095180
2022-02-28,-0.031422,-0.018025,-0.013397
2022-03-31,0.099928,-0.005579,0.105507
2022-04-30,-0.048297,-0.111163,0.062866
2022-05-31,-0.061906,-0.005708,-0.056198
2022-06-30,-0.077918,-0.085080,0.007162
2022-07-31,0.052743,0.090642,-0.037898
2022-08-31,-0.020681,-0.057245,0.036564
2022-09-30,-0.048378,-0.108266,0.059888
2022-10-31,0.146539,0.027837,0.118702
2022-11-30,0.004812,0.095472,-0.090659
2022-12-31,-0.052487,-0.030485,-0.022002
2023-01-31,0.095068,0.116927,-0.021859
2023-02-28,-0.100875,-0.048306,-0.052569
2023-03-31,-0.059713,0.021200,-0.080913
2023-04-30,0.077736,-0.021905,0.099641
2023-05-31,0.005899,0.032639,-0.026740
2023-06-30,0.036448,0.045575,-0.009127
2023-07-31,0.080734,0.137324,-0.056590
2023-08-31,-0.003031,-0.049605,0.046574
2023-09-30,-0.052358,-0.015495,-0.036863
2023-10-31,-0.021646,-0.004371,-0.017275
2023-11-30,0.223627,0.124308,0.099320
2023-12-31,0.061185,0.036946,0.024239
2024-01-31,0.043593,-0.031559,0.075152
2024-02-29,-0.037661,0.060396,-0.098057
2024-03-31,0.017972,-0.045745,0.063716
2024-04-30,-0.062168,-0.048686,-0.013482
2024-05-31,-0.006816,-0.007872,0.001056
2024-06-30,-0.033737,0.026893,-0.060630
2024-07-31,0.066360,0.015316,0.051044
2024-08-31,-0.019635,0.001757,-0.021392
2024-09-30,-0.005937,0.044512,-0.050449
2024-10-31,0.010340,0.003053,0.007287
2024-11-30,0.057752,0.109121,-0.051369
2024-12-31,0.001156,-0.047413,0.048568
2025-01-31,0.044859,0.056387,-0.011527
2025-02-28,0.034620,-0.021852,0.056472
2025-03-31,0.060565,-0.048611,0.109176
